Month_Name,Month_Number,Hours,Time,Date,Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay
May,5,3,03:20:21,13.05.24,13.05.24 03:20,Truck_1,-55.48,18.26,261,Delayed,22.5,78.4,Clear,41,209,6,Mechanical Failure,71.8,240,1
Dec,12,8,08:32:47,02.12.24,02.12.24 08:32,Truck_8,5.92,74.83,425,Delayed,19.3,51.1,Heavy,39,235,9,Mechanical Failure,88.3,242,1
Feb,2,6,06:23:27,12.02.24,12.02.24 06:23,Truck_7,49.39,-47.58,369,Delivered,26.3,52.1,Detour,48,104,7,None,66.7,220,0
Apr,4,6,06:17:22,24.04.24,24.04.24 06:17,Truck_10,80.32,70.77,223,Delayed,24,60.2,Heavy,45,292,6,Weather,78.4,205,1
Dec,12,19,19:05:13,06.12.24,06.12.24 19:05,Truck_2,-19.88,42.51,200,Delivered,28.1,72.1,Detour,28,129,9,None,74.3,134,0
Apr,4,11,11:53:17,30.04.24,30.04.24 11:53,Truck_9,5.46,-147.55,466,In Transit,26.1,72.1,Detour,54,475,9,Mechanical Failure,83.4,222,0
Sep,9,22,22:53:51,19.09.24,19.09.24 22:53,Truck_8,-19.26,66.74,474,In Transit,27.7,71.2,Heavy,50,311,3,Mechanical Failure,91.6,266,1
Dec,12,15,15:08:14,22.12.24,22.12.24 15:08,Truck_6,-79.08,-16.34,490,Delivered,23.1,75.2,Heavy,14,460,7,None,87.8,261,1
Aug,8,5,05:45:04,15.08.24,15.08.24 05:45,Truck_5,-1.68,3.24,126,Delivered,29.6,67.6,Detour,19,201,9,Weather,84.1,255,0
Mar,3,11,11:17:42,16.03.24,16.03.24 11:17,Truck_7,-8.24,-12.5,164,In Transit,18.2,76.4,Clear,45,466,7,None,98.1,196,0
Dec,12,11,11:40:55,28.12.24,28.12.24 11:40,Truck_2,-30.07,135.64,477,Delayed,19.2,79.4,Clear,12,310,5,Mechanical Failure,63.7,129,1
Feb,2,18,18:55:58,04.02.24,04.02.24 18:55,Truck_5,61.84,107.48,245,In Transit,24.2,56.9,Detour,39,379,2,Traffic,66.4,183,0
Jul,7,2,02:12:54,09.07.24,09.07.24 02:12,Truck_5,40.78,77.23,172,Delayed,25.2,67.6,Clear,40,274,7,Weather,66.3,170,1
Dec,12,23,23:54:16,01.12.24,01.12.24 23:54,Truck_7,-68.35,158.25,206,Delayed,20.7,77.5,Clear,15,308,2,Mechanical Failure,63.9,209,1
Jun,6,13,13:26:02,22.06.24,22.06.24 13:26,Truck_6,-33.84,73.32,310,In Transit,18.7,54.7,Clear,52,232,9,Traffic,72.6,113,0
Jul,7,15,15:50:46,27.07.24,27.07.24 15:50,Truck_2,69.66,38.45,225,Delivered,19,63,Heavy,17,282,6,Weather,99.6,265,1
Sep,9,14,14:12:00,05.09.24,05.09.24 14:12,Truck_3,20.88,1.39,303,Delayed,20.7,70.6,Clear,47,143,10,None,98.1,123,1
Nov,11,22,22:09:53,11.11.24,11.11.24 22:09,Truck_1,-14.81,-177.3,237,Delayed,20.7,78.3,Heavy,35,491,2,None,80.7,189,1
May,5,22,22:26:11,01.05.24,01.05.24 22:26,Truck_6,0.04,-130.65,172,Delivered,18.2,79.9,Clear,46,258,3,Mechanical Failure,60.1,154,0
Jul,7,20,20:19:01,26.07.24,26.07.24 20:19,Truck_9,-79.91,-3.86,214,In Transit,21.7,77,Heavy,47,187,10,None,97.4,175,1
Aug,8,1,01:16:43,09.08.24,09.08.24 01:16,Truck_3,76.45,173.15,330,Delayed,24,52.9,Heavy,14,425,1,Mechanical Failure,89.8,289,1
Jan,1,21,21:04:08,29.01.24,29.01.24 21:04,Truck_5,-15.6,-92.2,130,Delivered,18.1,78.3,Heavy,39,424,9,Traffic,92.3,143,1
Mar,3,12,12:47:34,23.03.24,23.03.24 12:47,Truck_2,67.4,170.15,364,Delayed,26.9,67.8,Clear,55,467,7,Weather,95.2,128,1
Oct,10,13,13:22:31,17.10.24,17.10.24 13:22,Truck_8,33.62,-67.28,430,Delayed,26.4,68.4,Heavy,16,277,8,None,71.9,137,1
Jul,7,7,07:07:27,11.07.24,11.07.24 07:07,Truck_8,-50.82,-40.34,187,In Transit,18.6,67.7,Clear,12,375,5,None,85.4,140,0
Dec,12,16,16:57:48,11.12.24,11.12.24 16:57,Truck_5,50.27,125.69,323,Delayed,28.3,61.2,Detour,52,139,4,Weather,72.4,127,1
Jan,1,1,01:05:25,10.01.24,10.01.24 01:05,Truck_9,-73.82,3.19,386,Delivered,26.6,78.2,Detour,19,456,7,Traffic,87.6,290,0
Jun,6,7,07:59:24,17.06.24,17.06.24 07:59,Truck_9,79.12,178.49,422,Delayed,19.6,53.3,Heavy,40,205,5,Weather,86.1,242,1
Jun,6,1,01:52:28,25.06.24,25.06.24 01:52,Truck_9,27.43,90.14,433,Delayed,24,77.8,Clear,37,173,9,Weather,89.6,143,1
Apr,4,20,20:13:18,17.04.24,17.04.24 20:13,Truck_9,67.91,-140.03,318,Delivered,26,77.4,Clear,19,314,2,None,70.2,250,0
Oct,10,18,18:26:11,09.10.24,09.10.24 18:26,Truck_9,-72.9,129.89,176,In Transit,22.6,73.3,Heavy,37,154,4,Mechanical Failure,91.4,169,1
Nov,11,17,17:17:47,27.11.24,27.11.24 17:17,Truck_4,-58.68,-62.75,125,Delayed,23.4,57.6,Heavy,23,191,2,Traffic,72,241,1
Jun,6,2,02:49:27,12.06.24,12.06.24 02:49,Truck_6,64.04,-151.7,336,In Transit,27.4,58.9,Detour,49,100,10,Weather,70.7,236,0
Nov,11,21,21:19:46,02.11.24,02.11.24 21:19,Truck_7,-24.14,-168.6,244,Delivered,21.3,73.8,Heavy,39,229,7,None,98.1,197,1
Feb,2,15,15:12:54,29.02.24,29.02.24 15:12,Truck_4,72.86,179.01,391,In Transit,20.5,71.2,Detour,12,112,7,None,78.3,267,0
Mar,3,23,23:47:15,17.03.24,17.03.24 23:47,Truck_6,7.36,86.64,425,Delivered,24.2,54.6,Detour,32,193,3,Weather,69.9,260,0
Nov,11,10,10:39:09,25.11.24,25.11.24 10:39,Truck_5,68.96,-123.5,403,In Transit,26.9,60.6,Clear,50,418,1,Traffic,67.8,182,0
Jul,7,18,18:22:32,04.07.24,04.07.24 18:22,Truck_4,14.91,50.16,438,Delayed,26.5,69.3,Heavy,34,378,5,Weather,88.7,256,1
Mar,3,5,05:23:55,19.03.24,19.03.24 05:23,Truck_1,66.24,10.83,339,In Transit,26.8,64.5,Detour,24,235,6,Traffic,69.3,212,0
Mar,3,1,01:25:23,20.03.24,20.03.24 01:25,Truck_9,70.19,-65.68,203,In Transit,18,68.9,Heavy,19,370,3,Traffic,74.4,254,1
Jul,7,11,11:16:58,18.07.24,18.07.24 11:16,Truck_4,51.45,-20.83,313,Delivered,23.6,65.2,Clear,49,137,6,None,100,122,0
Aug,8,8,08:40:26,10.08.24,10.08.24 08:40,Truck_2,-39.88,55.18,261,Delivered,27.1,67.3,Detour,35,496,2,Weather,71.3,264,0
Feb,2,8,08:11:14,20.02.24,20.02.24 08:11,Truck_8,-17.24,-130.69,179,In Transit,28.5,51,Detour,12,354,3,Weather,92.8,225,0
Dec,12,2,02:23:25,18.12.24,18.12.24 02:23,Truck_6,-44.26,-86.51,442,In Transit,18.3,50.3,Clear,56,469,2,None,96.3,192,0
Aug,8,16,16:18:37,20.08.24,20.08.24 16:18,Truck_5,19.93,116.05,291,Delivered,28.5,54.6,Heavy,14,316,7,None,77.5,288,1
Nov,11,7,07:40:41,06.11.24,06.11.24 07:40,Truck_5,-47.21,15.63,348,Delivered,28.2,68.3,Clear,22,415,4,Traffic,67.4,204,0
Dec,12,15,15:09:01,14.12.24,14.12.24 15:09,Truck_6,-58.42,-57.66,454,In Transit,23.7,51.9,Clear,51,232,7,Weather,78.7,172,0
Jan,1,12,12:01:25,15.01.24,15.01.24 12:01,Truck_1,-20.07,-73.27,486,Delivered,29.1,78.4,Clear,21,158,7,None,62.6,243,0
May,5,10,10:00:52,18.05.24,18.05.24 10:00,Truck_10,-36.85,164.76,483,In Transit,29.2,65,Heavy,57,167,8,Mechanical Failure,96.8,245,1
Nov,11,2,02:02:28,17.11.24,17.11.24 02:02,Truck_4,-86.66,-128.04,472,Delivered,23.5,72,Clear,59,485,3,Weather,67.2,248,0
Aug,8,20,20:11:57,22.08.24,22.08.24 20:11,Truck_5,-53.37,-99.64,186,In Transit,18.9,70.5,Clear,38,344,1,Traffic,95.6,252,0
Sep,9,8,08:00:47,12.09.24,12.09.24 08:00,Truck_6,-58.8,-150.41,366,In Transit,22.8,66.7,Clear,39,219,7,Traffic,91,211,0
Aug,8,21,21:54:31,09.08.24,09.08.24 21:54,Truck_5,-46.16,-46.64,359,Delivered,23,71.7,Detour,50,486,10,Traffic,64,169,0
Apr,4,2,02:50:29,19.04.24,19.04.24 02:50,Truck_7,33.87,36.88,422,Delayed,26.5,75,Heavy,39,100,6,None,67.2,127,1
Sep,9,11,11:18:34,30.09.24,30.09.24 11:18,Truck_6,35.71,-23.14,209,In Transit,24.9,76.8,Clear,51,214,2,Mechanical Failure,86.5,156,0
Mar,3,16,16:43:42,22.03.24,22.03.24 16:43,Truck_5,36.39,-107.39,324,Delayed,20.7,77.5,Heavy,39,387,1,None,69.1,138,1
Oct,10,4,04:02:56,15.10.24,15.10.24 04:02,Truck_7,26.61,25.48,199,In Transit,27.4,57.1,Heavy,28,383,6,None,61.9,105,1
Dec,12,19,19:01:30,18.12.24,18.12.24 19:01,Truck_5,-84.89,57.57,213,Delayed,27.7,58.1,Clear,41,267,7,Mechanical Failure,60.9,254,1
Jun,6,17,17:12:12,09.06.24,09.06.24 17:12,Truck_4,-49.68,-63.29,257,Delayed,23.1,59.1,Clear,56,451,3,Weather,93.8,248,1
Oct,10,2,02:01:46,30.10.24,30.10.24 02:01,Truck_5,14.75,-2.52,475,In Transit,22.2,79.4,Detour,25,268,3,Weather,60.3,151,0
Jun,6,3,03:05:18,23.06.24,23.06.24 03:05,Truck_7,-8.6,-63.13,377,In Transit,22.7,75.5,Clear,59,445,7,None,99.1,272,0
Aug,8,17,17:13:42,19.08.24,19.08.24 17:13,Truck_2,67.21,117.92,456,Delayed,26.4,51.4,Heavy,23,100,1,Weather,94.2,105,1
Apr,4,12,12:39:49,30.04.24,30.04.24 12:39,Truck_1,-11.34,-69.34,106,Delayed,18.3,65.9,Heavy,53,244,2,Traffic,99.5,125,1
Dec,12,3,03:53:36,15.12.24,15.12.24 03:53,Truck_10,26.38,157.09,234,Delayed,29.1,65.3,Clear,19,432,3,Weather,92.7,214,1
Mar,3,14,14:56:42,21.03.24,21.03.24 14:56,Truck_8,-13.47,75.34,390,Delayed,19.5,79.2,Heavy,26,366,4,Mechanical Failure,69.4,217,1
Sep,9,18,18:08:16,27.09.24,27.09.24 18:08,Truck_4,-11.24,-4.56,203,Delivered,20.4,78.3,Detour,21,187,5,None,87.9,262,0
Nov,11,8,08:35:02,17.11.24,17.11.24 08:35,Truck_6,62.66,18.85,297,Delayed,23.1,59.4,Detour,29,268,10,Traffic,71.2,151,1
May,5,3,03:34:28,03.05.24,03.05.24 03:34,Truck_9,60.8,-179.59,238,In Transit,25,75.8,Heavy,26,330,9,Weather,99.2,165,1
Mar,3,0,00:54:47,05.03.24,05.03.24 00:54,Truck_4,-10.05,79.9,126,Delivered,28.2,54.5,Detour,35,320,4,Mechanical Failure,93.7,136,0
Jan,1,9,09:22:40,14.01.24,14.01.24 09:22,Truck_2,17.65,114.26,455,Delivered,22.9,79.6,Detour,51,410,9,Weather,84.9,233,0
Feb,2,21,21:06:05,17.02.24,17.02.24 21:06,Truck_4,-51.92,-57.59,220,Delayed,29.4,52.4,Clear,18,468,9,Mechanical Failure,63.1,137,1
Jul,7,11,11:17:28,06.07.24,06.07.24 11:17,Truck_5,22.39,3.89,403,In Transit,22.5,62.5,Clear,38,225,3,Weather,81.4,169,0
May,5,22,22:14:19,10.05.24,10.05.24 22:14,Truck_10,86.34,29.45,448,Delayed,23.4,59.9,Detour,41,120,10,Weather,70.8,150,1
Dec,12,18,18:56:11,23.12.24,23.12.24 18:56,Truck_5,-14.67,-88.37,168,In Transit,22.4,57.9,Heavy,43,377,4,Mechanical Failure,71.1,140,1
Feb,2,8,08:28:02,06.02.24,06.02.24 08:28,Truck_7,-71.91,-41.43,409,Delivered,18,53.5,Heavy,47,153,9,None,74.1,117,1
Sep,9,10,10:08:52,16.09.24,16.09.24 10:08,Truck_2,54.89,7.43,469,In Transit,20.7,70.4,Clear,31,335,7,Traffic,86.1,298,0
Jan,1,12,12:56:30,26.01.24,26.01.24 12:56,Truck_5,-89.79,85.8,305,In Transit,20.5,71.2,Detour,44,302,10,Weather,71.9,141,0
Nov,11,6,06:34:32,29.11.24,29.11.24 06:34,Truck_5,39.91,71.96,219,Delayed,26.6,79.8,Heavy,46,245,1,None,70.5,202,1
Jun,6,19,19:16:49,02.06.24,02.06.24 19:16,Truck_8,30.71,111.58,167,Delayed,23.8,71.6,Clear,55,416,8,Traffic,60.7,263,1
Feb,2,10,10:07:24,08.02.24,08.02.24 10:07,Truck_4,5.71,-79.93,100,Delayed,24.1,50.9,Detour,39,340,4,None,96.9,274,1
Aug,8,7,07:05:15,17.08.24,17.08.24 07:05,Truck_9,69.05,91.85,321,In Transit,25.4,53.8,Clear,24,340,5,Traffic,84.6,223,0
Jan,1,4,04:09:11,27.01.24,27.01.24 04:09,Truck_7,52.78,176.07,244,Delivered,23.6,64.9,Clear,24,145,4,Mechanical Failure,67.6,285,0
Dec,12,0,00:55:11,13.12.24,13.12.24 00:55,Truck_9,42.97,146.14,281,Delivered,18.4,74.6,Detour,41,419,6,None,69.1,242,0
Oct,10,21,21:55:21,26.10.24,26.10.24 21:55,Truck_7,-11.99,-126.87,301,Delivered,18.3,60,Detour,42,243,3,Mechanical Failure,99,273,0
Mar,3,5,05:42:50,19.03.24,19.03.24 05:42,Truck_8,60.59,-90.04,437,In Transit,25.5,73.2,Clear,59,310,2,None,83.9,228,0
Oct,10,14,14:15:25,23.10.24,23.10.24 14:15,Truck_7,-23.3,143.86,253,In Transit,22.8,78.7,Clear,49,180,3,Weather,74,296,0
Jan,1,8,08:34:25,18.01.24,18.01.24 08:34,Truck_2,-34.22,-36.63,491,Delivered,25.5,50.3,Heavy,18,111,1,Weather,97.1,100,1
Nov,11,11,11:42:39,15.11.24,15.11.24 11:42,Truck_3,19.55,73.1,172,Delayed,22.8,60.4,Detour,38,187,9,Weather,83.3,106,1
Jul,7,16,16:37:53,01.07.24,01.07.24 16:37,Truck_7,33.34,-103.93,252,Delayed,24.4,72.3,Detour,54,156,6,Mechanical Failure,86.8,225,1
Jun,6,8,08:04:09,11.06.24,11.06.24 08:04,Truck_4,-63.21,30.08,118,Delayed,21.8,52.1,Clear,19,421,8,Mechanical Failure,99.1,284,1
Jul,7,15,15:08:44,03.07.24,03.07.24 15:08,Truck_4,83.29,-66.11,179,Delayed,25,71.1,Detour,60,325,1,Weather,66.8,226,1
Feb,2,0,00:41:30,05.02.24,05.02.24 00:41,Truck_6,-23.24,18.62,119,Delivered,25.9,77.7,Clear,38,189,7,Weather,79.3,149,0
Mar,3,3,03:54:06,12.03.24,12.03.24 03:54,Truck_5,-89.08,130.34,221,Delayed,22.8,76.1,Detour,35,233,4,None,61.5,281,1
Nov,11,6,06:38:26,17.11.24,17.11.24 06:38,Truck_7,-11.29,-105.25,261,Delayed,24.5,74.2,Detour,36,201,10,Mechanical Failure,67,226,1
Jul,7,10,10:23:03,30.07.24,30.07.24 10:23,Truck_5,0.38,-13.68,226,Delivered,25.4,73.7,Detour,46,138,8,Traffic,75.5,298,0
Dec,12,16,16:11:00,07.12.24,07.12.24 16:11,Truck_10,-7.77,163.6,226,In Transit,21.1,56.1,Heavy,50,160,5,None,77.3,174,1
Mar,3,17,17:54:08,15.03.24,15.03.24 17:54,Truck_7,-80.12,-56.15,415,In Transit,25.3,54.4,Heavy,53,345,2,Mechanical Failure,87.4,181,1
Oct,10,6,06:49:32,15.10.24,15.10.24 06:49,Truck_3,-84.8,57.17,422,Delivered,29.7,68.3,Heavy,45,246,1,Weather,85.6,136,1
Aug,8,6,06:52:35,27.08.24,27.08.24 06:52,Truck_8,-13.15,-1.07,413,Delayed,23.4,67.1,Heavy,32,325,3,Mechanical Failure,93.3,109,1
Aug,8,2,02:01:25,02.08.24,02.08.24 02:01,Truck_1,-87.55,113.46,269,In Transit,25.2,57.7,Detour,20,247,2,Weather,60.9,177,0
Nov,11,18,18:48:54,27.11.24,27.11.24 18:48,Truck_4,72.91,36.2,489,Delivered,25.7,50.1,Heavy,51,204,1,Weather,65.1,184,1
Dec,12,5,05:26:24,03.12.24,03.12.24 05:26,Truck_6,16.2,-119.45,426,In Transit,28.8,56.2,Clear,30,145,3,Traffic,81.2,220,0
Feb,2,3,03:19:43,05.02.24,05.02.24 03:19,Truck_5,28.35,-1.55,457,Delivered,27.9,78.6,Heavy,18,461,6,Weather,69.1,137,1
Dec,12,22,22:58:09,19.12.24,19.12.24 22:58,Truck_1,-35.57,47.4,270,Delivered,21.7,53.6,Clear,15,499,8,Mechanical Failure,94.9,111,0
Nov,11,8,08:44:11,23.11.24,23.11.24 08:44,Truck_7,-33.25,106.32,267,In Transit,29.8,79.8,Heavy,55,282,5,None,90.5,173,1
Apr,4,14,14:49:18,30.04.24,30.04.24 14:49,Truck_5,10.21,98.62,381,Delivered,24.4,50.1,Heavy,54,243,6,None,61.5,278,1
Jun,6,6,06:45:59,07.06.24,07.06.24 06:45,Truck_3,-6.23,173.63,402,Delivered,27,74.2,Heavy,17,155,10,Traffic,73.4,281,1
Nov,11,4,04:49:31,24.11.24,24.11.24 04:49,Truck_4,-78.11,-52.54,331,Delivered,20.4,66.1,Heavy,25,261,6,Mechanical Failure,77.7,264,1
Jul,7,0,00:56:10,29.07.24,29.07.24 00:56,Truck_5,-70.36,-128.86,167,Delivered,25.6,62.5,Detour,40,246,9,Traffic,63.8,126,0
Jun,6,20,20:00:16,01.06.24,01.06.24 20:00,Truck_4,18.12,116.49,187,Delayed,23.3,71.7,Heavy,10,209,10,Traffic,97.2,151,1
Jul,7,12,12:19:20,18.07.24,18.07.24 12:19,Truck_10,20.3,124.19,298,In Transit,18.6,74.4,Detour,41,248,1,None,86.3,283,0
Dec,12,11,11:48:34,16.12.24,16.12.24 11:48,Truck_6,-27.74,19.62,331,Delayed,21.4,62.9,Detour,46,235,8,Mechanical Failure,62.6,298,1
Apr,4,22,22:37:19,15.04.24,15.04.24 22:37,Truck_2,-31.13,175.85,180,Delivered,27.2,52.9,Clear,29,390,8,Mechanical Failure,68.4,110,0
Apr,4,10,10:29:17,05.04.24,05.04.24 10:29,Truck_10,24.84,-83.72,282,In Transit,19.4,71.9,Clear,43,464,10,Traffic,90,107,0
Dec,12,12,12:26:19,20.12.24,20.12.24 12:26,Truck_4,-32.72,82.96,363,Delayed,27,70.9,Detour,52,482,6,Weather,62.9,248,1
Jul,7,3,03:07:27,02.07.24,02.07.24 03:07,Truck_3,72.12,89.97,212,Delivered,25.9,68,Heavy,32,312,6,Mechanical Failure,87.6,296,1
Jan,1,4,04:43:23,28.01.24,28.01.24 04:43,Truck_1,-7.64,51.06,317,In Transit,23.9,69.5,Clear,59,447,1,Weather,97.1,294,0
Jan,1,20,20:39:14,14.01.24,14.01.24 20:39,Truck_2,-24.01,111.47,240,Delivered,18.8,63.9,Detour,23,462,1,None,61.2,276,0
Aug,8,11,11:35:04,06.08.24,06.08.24 11:35,Truck_10,77,-12.29,427,Delayed,20.3,57.3,Heavy,18,341,3,Weather,85.7,189,1
Dec,12,1,01:10:23,08.12.24,08.12.24 01:10,Truck_10,-38.69,-19.99,144,Delayed,18.2,53.1,Clear,16,106,5,Weather,69.4,214,1
Feb,2,1,01:51:59,27.02.24,27.02.24 01:51,Truck_8,41.38,77.29,280,In Transit,25.5,74.2,Clear,46,447,2,Traffic,65.3,236,0
Feb,2,21,21:28:31,14.02.24,14.02.24 21:28,Truck_2,-68.47,179.44,182,Delayed,20.3,59.8,Detour,30,288,7,None,83.3,107,1
Mar,3,11,11:48:25,21.03.24,21.03.24 11:48,Truck_3,-13.01,0.53,439,Delayed,21.5,72.8,Heavy,30,101,10,Mechanical Failure,90.4,114,1
Oct,10,22,22:56:13,16.10.24,16.10.24 22:56,Truck_2,41.31,161.15,174,Delayed,27.2,77.9,Heavy,39,173,5,Mechanical Failure,91.1,262,1
Feb,2,23,23:20:41,21.02.24,21.02.24 23:20,Truck_6,-23.1,-54.52,186,Delayed,24,67.3,Detour,44,352,9,None,85.7,262,1
Sep,9,22,22:17:10,24.09.24,24.09.24 22:17,Truck_10,-17.61,-41.43,109,Delivered,26.9,75.3,Detour,26,314,7,None,93.3,176,0
Mar,3,10,10:22:10,30.03.24,30.03.24 10:22,Truck_4,-72.45,131.85,483,In Transit,21.9,71.9,Detour,59,226,10,Mechanical Failure,69.2,152,0
Dec,12,7,07:37:03,15.12.24,15.12.24 07:37,Truck_2,27.36,-105.05,100,Delayed,27.5,68.6,Clear,49,464,3,None,61.7,149,1
Mar,3,22,22:29:16,26.03.24,26.03.24 22:29,Truck_1,-86.53,-36.58,128,Delivered,28.9,63.7,Clear,56,140,1,Weather,72.8,127,0
May,5,18,18:49:33,09.05.24,09.05.24 18:49,Truck_10,10.21,36.86,100,In Transit,21.9,72.1,Detour,22,413,1,Weather,67.5,145,0
Nov,11,9,09:57:01,19.11.24,19.11.24 09:57,Truck_6,-42.68,-7.98,468,Delayed,28.6,65.1,Heavy,45,419,8,None,76.1,119,1
Nov,11,17,17:09:09,26.11.24,26.11.24 17:09,Truck_8,36.25,143.2,243,In Transit,27.7,74.8,Detour,28,311,9,None,97.5,272,0
Apr,4,9,09:54:18,20.04.24,20.04.24 09:54,Truck_2,29,151.61,134,Delayed,29.2,55.5,Detour,34,189,1,Weather,87.8,270,1
Jun,6,19,19:19:16,05.06.24,05.06.24 19:19,Truck_3,-22.1,-38.84,484,Delivered,29.1,54.7,Detour,48,320,7,Weather,84.6,118,0
Jul,7,4,04:26:39,08.07.24,08.07.24 04:26,Truck_6,47.28,32.14,300,Delivered,22.4,54.3,Heavy,23,323,5,Weather,65.5,230,1
Apr,4,3,03:56:41,01.04.24,01.04.24 03:56,Truck_10,-25.47,-70.76,396,Delivered,21.9,67.4,Detour,24,238,3,Weather,60.4,117,0
